value,count
0,55698871
1,107278
2,90886
3,79678
4,76728
5,75176
6,70334
7,59516
8,42977
9,45132
10,43403
11,55985
12,39425
13,46187
14,135261
15,255741
16,136704
17,154048
18,32831
19,164255
20,171290
21,129645
22,260064
23,152928
24,138679
25,125263
26,136220
27,197759
28,229480
29,220821
30,150470
31,92649
32,92264
33,104667
34,130428
35,117808
36,105412
37,100760
38,101916
39,251336
40,208024
41,187652
42,142603
43,178977
44,244435
45,80940
46,82548
47,145367
48,77880
49,78227
50,59183
51,64757
52,32585
53,34388
54,39587
55,24729
56,25587
57,5505
58,19848
59,21265
60,17704
61,18423
62,16184
63,16524
64,14880
65,15715
66,14792
67,14740
68,15144
69,14543
70,14704
71,26090
72,14911
73,15195
74,14809
75,15436
76,3875
77,16208
78,27969
79,16248
80,16712
81,16791
82,16541
83,16928
84,17313
85,17387
86,17684
87,17781
88,17695
89,18192
90,18722
91,18718
92,19480
93,4877
94,34618
95,19937
96,20416
97,5206
98,36321
99,20613
100,21080
101,21476
102,5452
103,38884
104,22464
105,23396
106,23104
107,5975
108,23891
109,43211
110,25459
111,26144
112,26740
113,27720
114,7192
115,28909
116,29643
117,30709
118,31468
119,59161
120,34186
121,37092
122,38340
123,41112
124,42892
125,43936
126,47624
127,49680
128,52916
129,55284
130,58572
131,62476
132,67156
133,70392
134,73296
135,70584
136,17065
137,67419
138,64642
139,63835
140,62981
141,60343
142,101807
143,55532
144,53936
145,52684
146,12890
147,51059
148,49082
149,81665
150,44540
151,42000
152,10179
153,40072
154,66453
155,35936
156,33444
157,8154
158,32192
159,52438
160,28064
161,6669
162,26212
163,42191
164,23020
165,5369
166,36899
167,19524
168,4603
169,31577
170,17556
171,4095
172,27969
173,15400
174,3721
175,25679
176,14276
177,3443
178,23569
179,3139
180,22157
181,12124
182,2976
183,21148
184,2889
185,20163
186,2799
187,19545
188,2775
189,19765
190,2818
191,20186
192,2971
193,20757
194,3043
195,21681
196,3371
197,24061
198,3992
199,31808
200,6771
201,59737
202,75452
203,33239
204,262553
205,35913
206,218551
207,70404
208,11037
209,63299
210,6090
211,23769
212,35869
213,4296
214,16833
215,26263
216,3234
217,12764
218,19966
219,10148
220,2381
221,9251
222,14468
223,7392
224,1667
225,6464
226,9265
227,4184
228,886
229,3304
230,4102
231,1872
232,1544
233,346
234,1348
235,1247
236,2027
237,844
238,792
239,752
240,176
241,700
242,655
243,568
244,1045
245,588
246,548
247,480
248,524
249,588
250,568
251,640
252,768
253,828
254,1156
255,6352
