value,count
0,48819977
1,37037
2,34677
3,33710
4,32911
5,32099
6,32531
7,32632
8,33260
9,34219
10,35863
11,37700
12,39828
13,42344
14,235044
15,388566
16,207440
17,198852
18,58414
19,197668
20,194500
21,328869
22,442582
23,311796
24,308742
25,300495
26,291301
27,372284
28,368536
29,363676
30,361178
31,379253
32,377492
33,378527
34,377616
35,368509
36,371656
37,373007
38,373129
39,353966
40,356666
41,356948
42,327564
43,332236
44,334159
45,295592
46,301856
47,506687
48,273584
49,281034
50,243329
51,247515
52,212890
53,219012
54,225230
55,192435
56,196137
57,44542
58,169596
59,173214
60,151016
61,154537
62,134160
63,139332
64,118944
65,124528
66,107732
67,110990
68,95132
69,99358
70,85640
71,146003
72,79876
73,69574
74,71426
75,66072
76,15371
77,59724
78,100982
79,55615
80,51604
81,47917
82,48855
83,45616
84,42940
85,43636
86,40132
87,37900
88,38676
89,36328
90,34227
91,34569
92,34536
93,8346
94,56348
95,31474
96,30140
97,7257
98,50126
99,28761
100,27912
101,27052
102,6651
103,44897
104,25168
105,24624
106,24028
107,5971
108,23655
109,39393
110,22309
111,21808
112,21360
113,20868
114,5164
115,20617
116,20403
117,19887
118,19079
119,32047
120,18223
121,17480
122,17924
123,16840
124,16492
125,15860
126,15580
127,15340
128,14972
129,14400
130,14324
131,14204
132,13640
133,13536
134,12864
135,12796
136,3214
137,12796
138,12510
139,12110
140,11839
141,11660
142,19887
143,10720
144,10416
145,10240
146,2505
147,10047
148,10027
149,16769
150,9588
151,9100
152,2211
153,8793
154,14892
155,8348
156,8208
157,1989
158,7890
159,13629
160,7516
161,1869
162,7461
163,12798
164,6772
165,1735
166,11977
167,6336
168,1597
169,10987
170,6432
171,1494
172,10402
173,6024
174,1478
175,9906
176,5532
177,1312
178,9204
179,1360
180,9340
181,4940
182,1264
183,8716
184,1193
185,8279
186,1207
187,8297
188,1139
189,7909
190,1107
191,7305
192,1060
193,7220
194,1018
195,7134
196,980
197,6748
198,899
199,6909
200,890
201,6490
202,3444
203,941
204,6387
205,876
206,6164
207,3380
208,844
209,6108
210,836
211,3317
212,5983
213,819
214,3274
215,5799
216,818
217,3293
218,5673
219,3072
220,788
221,3131
222,5469
223,3148
224,769
225,3102
226,5485
227,3284
228,724
229,2941
230,5439
231,3180
232,2748
233,693
234,2832
235,2942
236,4557
237,2744
238,2720
239,2884
240,728
241,2871
242,2758
243,2750
244,4745
245,2676
246,2680
247,2500
248,2708
249,2624
250,2588
251,2552
252,2552
253,2504
254,2324
255,202192
